Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
HD 564 b,HD 564,Radial Velocity,La Silla Observatory,G2/G3 V,[Fe/H],942,1,1,2014,492.3,1.2,104.88,0.096,,,5902.0,1.01,0.96,-0.2,4.53,51.1659,8.17077
HD 5891 b,HD 5891,Radial Velocity,W. M. Keck Observatory,,[Fe/H],943,1,1,2011,177.11,0.64,2425.0429,0.07,,,4673.0,10.64,1.93,-0.37,2.67,283.502,7.79825
HD 59686 A b,HD 59686 A,Radial Velocity,Lick Observatory,K2 III,[Fe/H],944,2,1,2016,299.36,1.086,2199.3836,0.05,,,4658.0,13.2,1.9,0.15,2.49,89.2721,5.13228
HD 60292 b,HD 60292,Radial Velocity,Bohyunsan Optical Astronomical Observatory,K0 III,[Fe/H],945,1,1,2020,495.4,1.5,2065.895,0.27,,,4348.0,27.0,1.7,-0.17,1.9,315.211,6.53238
HD 60532 b,HD 60532,Radial Velocity,La Silla Observatory,,[Fe/H],946,1,2,2008,201.9,0.77,336.8998,0.26,,,6245.0,2.57,1.5,-0.26,3.8,25.9716,4.30793
HD 60532 c,HD 60532,Radial Velocity,La Silla Observatory,,[Fe/H],947,1,2,2008,600.1,1.6,797.7533,0.03,,,6245.0,2.57,1.5,-0.26,3.8,25.9716,4.30793
HD 62509 b,HD 62509,Radial Velocity,Multiple Observatories,,[M/H],948,1,1,2006,589.64,1.64,731.0,0.02,,,4892.63,,,0.103,,,
HD 63433 b,HD 63433,Transit,Transiting Exoplanet Survey Satellite (TESS),,,949,1,2,2020,7.10793,0.0719,,0.0,,,5640.0,0.91,0.99,,,22.4035,6.71831
HD 63433 c,HD 63433,Transit,Transiting Exoplanet Survey Satellite (TESS),,,950,1,2,2020,20.5453,0.1458,,0.0,,,5640.0,0.91,0.99,,,22.4035,6.71831
HD 63454 b,HD 63454,Radial Velocity,La Silla Observatory,,[Fe/H],951,1,1,2005,2.81805,0.04,79.4575,0.0,,,4812.0,0.77,0.42,0.1,4.28,37.6894,9.05402
HD 63765 b,HD 63765,Radial Velocity,La Silla Observatory,,[Fe/H],952,1,1,2009,358.0,0.94,168.4499,0.24,,,5449.0,0.83,0.65,-0.16,4.41,32.5376,7.90983
HD 63935 b,HD 63935,Transit,Transiting Exoplanet Survey Satellite (TESS),,[Fe/H],953,1,2,2021,9.058811,,10.8,0.0,115.6,911.0,5534.0,0.96,0.93,0.07,4.38,48.9739,8.39353
HD 63935 c,HD 63935,Radial Velocity,Multiple Observatories,,[Fe/H],954,1,2,2021,21.4023,,11.1,0.0,36.7,684.0,5534.0,0.96,0.93,0.07,4.38,48.9739,8.39353
HD 64114 b,HD 64114,Radial Velocity,Las Campanas Observatory,G7 V,,955,1,1,2019,45.791,0.246,17.8,0.12,,,5676.0,,0.95,,,31.5262,7.52581
HD 6434 b,HD 6434,Radial Velocity,La Silla Observatory,,[Fe/H],956,1,1,2003,21.998,0.14,155.7367,0.17,,,5769.0,1.12,1.1,-0.55,4.38,42.358,7.5609
