Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
Kepler-1130 b,Kepler-1130,Transit,Kepler,,[Fe/H],1814,2,1,2016,5.45298175,,,,,,5403.0,0.81,0.9,-0.06,4.57,249.343,12.3956
Kepler-1131 b,Kepler-1131,Transit,Kepler,,[Fe/H],1815,1,1,2016,3.53232449,,,,,,5851.0,1.04,1.03,0.05,4.42,1030.7,14.9375
Kepler-1132 b,Kepler-1132,Transit,Kepler,,[Fe/H],1816,1,1,2016,62.8916228,,,,,,5298.0,0.83,0.87,-0.01,4.55,867.931,15.4722
Kepler-1133 b,Kepler-1133,Transit,Kepler,,[Fe/H],1817,1,1,2016,11.55562343,,,,,,5569.0,0.9,0.93,-0.02,4.5,753.135,14.8099
Kepler-1134 b,Kepler-1134,Transit,Kepler,,[Fe/H],1818,1,1,2016,17.13263989,,,,,,5281.0,0.81,0.84,-0.1,4.56,944.445,15.8249
Kepler-1135 b,Kepler-1135,Transit,Kepler,,[Fe/H],1819,1,1,2016,76.957857,,,,,,5656.0,0.94,0.96,0.02,4.47,1314.64,14.2953
Kepler-1136 b,Kepler-1136,Transit,Kepler,,[Fe/H],1820,1,1,2016,2.36172433,,,,,,4512.0,0.68,0.72,0.03,4.63,491.406,15.6422
Kepler-1137 b,Kepler-1137,Transit,Kepler,,[Fe/H],1821,1,1,2016,23.9210791,,,,,,6807.0,1.84,1.5,0.05,4.08,921.778,12.6907
Kepler-1138 b,Kepler-1138,Transit,Kepler,,[Fe/H],1822,1,1,2016,3.17060005,,,,,,5582.0,0.92,0.95,0.04,4.49,872.328,15.3357
Kepler-1139 b,Kepler-1139,Transit,Kepler,,[Fe/H],1823,1,1,2016,0.81316672,,,,,,5550.0,0.91,0.94,0.05,4.5,495.156,14.1349
Kepler-114 b,Kepler-114,Transit,Kepler,,,1824,1,3,2014,5.188549,0.053,,,,,4605.0,0.67,,,4.65,259.533,13.7125
Kepler-114 c,Kepler-114,Transit,Kepler,,,1825,1,3,2013,8.041,,2.8,,,,,0.54,0.56,,4.72,259.533,13.7125
Kepler-114 d,Kepler-114,Transit,Kepler,,,1826,1,3,2013,11.776,,3.9,,,,,0.54,0.56,,4.72,259.533,13.7125
Kepler-1140 b,Kepler-1140,Transit,Kepler,,[Fe/H],1827,1,1,2016,24.0862707,,,,,,4850.0,0.73,0.76,-0.08,4.61,656.48,15.4527
Kepler-1141 b,Kepler-1141,Transit,Kepler,,[Fe/H],1828,1,1,2016,2.34451194,,,,,,5791.0,1.07,1.01,0.04,4.38,393.642,12.3348
Kepler-1142 b,Kepler-1142,Transit,Kepler,,[Fe/H],1829,1,1,2016,18.3027248,,,,,,5685.0,0.96,0.97,0.02,4.46,1273.51,14.2783
Kepler-1143 b,Kepler-1143,Transit,Kepler,,[Fe/H],1830,1,2,2016,2.88890485,,,,,,5053.0,0.77,0.81,-0.06,4.58,555.189,15.1938
Kepler-1143 c,Kepler-1143,Transit,Kepler,,[Fe/H],1831,1,2,2016,210.630591,,,,,,5053.0,0.77,0.81,-0.06,4.58,555.189,15.1938
Kepler-1144 b,Kepler-1144,Transit,Kepler,,[Fe/H],1832,1,1,2016,17.14647302,,,,,,5753.0,0.96,0.98,-0.03,4.47,1140.57,14.9125
Kepler-1145 b,Kepler-1145,Transit,Kepler,,[Fe/H],1833,1,1,2016,3.97076766,,,,,,5064.0,0.75,0.79,-0.13,4.59,691.961,15.4499
Kepler-1146 b,Kepler-1146,Transit,Kepler,,[Fe/H],1834,1,1,2016,2.3522658,,,,,,4692.0,0.7,0.74,-0.06,4.62,703.038,15.8497
Kepler-1147 b,Kepler-1147,Transit,Kepler,,[Fe/H],1835,1,1,2016,10.62784997,,,,,,5941.0,1.14,1.09,0.11,4.36,1657.36,15.3564
Kepler-1148 b,Kepler-1148,Transit,Kepler,,[Fe/H],1836,1,1,2016,1.10446351,,,,,,5054.0,0.77,0.81,-0.02,4.58,625.692,15.2812
Kepler-1149 b,Kepler-1149,Transit,Kepler,,[Fe/H],1837,1,1,2016,3.73089898,,,,,,5833.0,1.01,1.02,0.02,4.43,1217.73,14.9307
Kepler-115 b,Kepler-115,Transit,Kepler,,,1838,1,2,2014,2.403679,0.036,,,,,5979.0,1.21,,,4.31,623.609,13.3925
Kepler-115 c,Kepler-115,Transit,Kepler,,,1839,1,2,2014,8.990889,0.087,,,,,5979.0,1.21,,,4.31,623.609,13.3925
Kepler-1150 b,Kepler-1150,Transit,Kepler,,[Fe/H],1840,2,1,2016,2.78786839,,,,,,4754.0,0.72,0.76,0.01,4.61,358.518,14.4231
Kepler-1151 b,Kepler-1151,Transit,Kepler,,[Fe/H],1841,1,1,2016,65.6478424,,,,,,5470.0,0.85,0.88,-0.11,4.53,682.436,14.8569
Kepler-1152 b,Kepler-1152,Transit,Kepler,,[Fe/H],1842,1,1,2016,1.64680191,,,,,,3964.0,0.53,0.55,-0.25,4.73,215.233,14.5976
Kepler-1153 b,Kepler-1153,Transit,Kepler,,[Fe/H],1843,1,1,2016,1.75583533,,,,,,5470.0,0.88,0.91,0.03,4.52,1119.49,15.7976
Kepler-1154 b,Kepler-1154,Transit,Kepler,,[Fe/H],1844,1,2,2016,5.1856142,,,,,,6327.0,1.43,1.26,0.04,4.23,1460.1,14.7792
Kepler-1154 c,Kepler-1154,Transit,Kepler,,[Fe/H],1845,1,2,2016,8.45808312,,,,,,6327.0,1.43,1.26,0.04,4.23,1460.1,14.7792
Kepler-1155 b,Kepler-1155,Transit,Kepler,,[Fe/H],1846,1,1,2016,33.469743,,,,,,5842.0,1.03,1.03,0.04,4.43,1128.72,14.7392
Kepler-1156 b,Kepler-1156,Transit,Kepler,,[Fe/H],1847,1,1,2016,11.89520511,,,,,,5778.0,1.0,1.0,0.02,4.44,691.331,14.1258
Kepler-1157 b,Kepler-1157,Transit,Kepler,,[Fe/H],1848,1,1,2016,4.45743164,,,,,,4679.0,0.71,0.76,0.05,4.62,342.144,14.3769
Kepler-1158 b,Kepler-1158,Transit,Kepler,,[Fe/H],1849,1,1,2016,13.5396293,,,,,,6203.0,1.95,1.41,0.18,4.01,1484.25,13.5744
Kepler-1159 b,Kepler-1159,Transit,Kepler,,[Fe/H],1850,1,1,2016,22.70816791,,,,,,6217.0,1.28,1.19,0.04,4.3,1213.71,14.5451
Kepler-116 b,Kepler-116,Transit,Kepler,,,1851,1,2,2014,5.968734,0.069,,,,,6142.0,1.45,,,4.2,955.168,13.6894
Kepler-116 c,Kepler-116,Transit,Kepler,,,1852,1,2,2014,13.07163,0.116,,,,,6142.0,1.45,,,4.2,955.168,13.6894
Kepler-1160 b,Kepler-1160,Transit,Kepler,,[Fe/H],1853,1,1,2016,7.97034958,,,,,,5519.0,0.89,0.92,0.01,4.51,1077.63,15.8003
Kepler-1161 b,Kepler-1161,Transit,Kepler,,[Fe/H],1854,1,1,2016,10.71252541,,,,,,4253.0,0.57,0.59,-0.35,4.7,547.726,15.8004
Kepler-1162 b,Kepler-1162,Transit,Kepler,,[Fe/H],1855,1,1,2016,32.5637069,,,,,,5390.0,0.84,0.89,-0.03,4.54,940.211,15.4855
Kepler-1163 b,Kepler-1163,Transit,Kepler,,[Fe/H],1856,1,1,2016,6.11786898,,,,,,6302.0,1.35,1.22,0.02,4.26,478.647,12.1183
Kepler-1164 b,Kepler-1164,Transit,Kepler,,[Fe/H],1857,1,1,2016,3.97599768,,,,,,5183.0,0.79,0.85,-0.03,4.57,431.622,14.0899
Kepler-1165 b,Kepler-1165,Transit,Kepler,,[Fe/H],1858,1,1,2016,9.478522,,,,,,6080.0,1.18,1.13,0.05,4.34,1575.2,14.3923
Kepler-1166 b,Kepler-1166,Transit,Kepler,,[Fe/H],1859,1,1,2016,33.2406882,,,,,,5446.0,0.86,0.9,-0.02,4.53,634.906,14.466
Kepler-1167 b,Kepler-1167,Transit,Kepler,,[Fe/H],1860,1,1,2016,1.00393374,,,,,,4971.0,0.75,0.79,-0.05,4.6,820.905,15.9292
Kepler-1168 b,Kepler-1168,Transit,Kepler,,[Fe/H],1861,1,1,2016,55.8226539,,,,,,5157.0,0.82,0.87,0.13,4.56,752.666,15.6088
Kepler-1169 b,Kepler-1169,Transit,Kepler,,[Fe/H],1862,1,1,2016,6.11009134,,,,,,6191.0,1.23,1.24,0.26,4.35,522.823,12.6852
Kepler-117 b,Kepler-117,Transit,Kepler,F8 V,[Fe/H],1863,1,2,2014,18.7959228,0.1445,29.875,0.0493,,984.0,6150.0,1.61,1.13,-0.04,4.1,1455.57,14.2472
Kepler-117 c,Kepler-117,Transit,Kepler,F8 V,[Fe/H],1864,1,2,2014,50.790391,0.2804,584.78,0.0323,,704.0,6150.0,1.61,1.13,-0.04,4.1,1455.57,14.2472
Kepler-1170 b,Kepler-1170,Transit,Kepler,,[Fe/H],1865,1,1,2016,9.98969327,,,,,,5069.0,0.76,0.8,-0.09,4.58,1050.45,15.9093
Kepler-1171 b,Kepler-1171,Transit,Kepler,,[Fe/H],1866,1,1,2016,1.44259224,,,,,,7044.0,1.95,1.58,-0.01,4.05,573.0,11.4587
Kepler-1172 b,Kepler-1172,Transit,Kepler,,[Fe/H],1867,1,1,2016,26.0204423,,,,,,5558.0,0.89,0.92,-0.04,4.51,1306.53,15.8463
Kepler-1173 b,Kepler-1173,Transit,Kepler,,[Fe/H],1868,1,1,2016,0.7698536,,,,,,5252.0,0.82,0.86,0.0,4.55,377.06,13.8043
Kepler-1174 b,Kepler-1174,Transit,Kepler,,[Fe/H],1869,1,1,2016,6.89225223,,,,,,5936.0,1.04,1.04,-0.04,4.42,1408.75,14.159
Kepler-1175 b,Kepler-1175,Transit,Kepler,,[Fe/H],1870,1,1,2016,37.94563,,,,,,5453.0,0.86,0.9,-0.04,4.53,1121.89,15.9163
Kepler-1176 b,Kepler-1176,Transit,Kepler,,[Fe/H],1871,1,1,2016,24.1738579,,,,,,5844.0,1.02,1.01,-0.01,4.42,864.699,15.0496
Kepler-1177 b,Kepler-1177,Transit,Kepler,,[Fe/H],1872,1,1,2016,106.247547,,,,,,5712.0,0.97,0.98,0.02,4.46,1299.97,14.5078
Kepler-1178 b,Kepler-1178,Transit,Kepler,,[Fe/H],1873,1,1,2016,31.80634,,,,,,4990.0,0.75,0.8,-0.05,4.59,482.287,13.9597
Kepler-1179 b,Kepler-1179,Transit,Kepler,,[Fe/H],1874,1,1,2016,2.68505749,,,,,,5212.0,0.81,0.84,-0.03,4.56,415.205,14.0675
Kepler-118 b,Kepler-118,Transit,Kepler,,,1875,1,2,2014,7.518496,0.073,,,,,5274.0,1.09,,,4.32,574.228,14.7187
Kepler-118 c,Kepler-118,Transit,Kepler,,,1876,1,2,2014,20.17202,0.141,,,,,5274.0,1.09,,,4.32,574.228,14.7187
Kepler-1180 b,Kepler-1180,Transit,Kepler,,[Fe/H],1877,1,1,2016,16.8601286,,,,,,6077.0,1.14,1.09,0.0,4.36,1596.8,14.9844
Kepler-1181 b,Kepler-1181,Transit,Kepler,,[Fe/H],1878,1,1,2016,4.89337519,,,,,,6176.0,1.3,1.17,0.03,4.27,938.417,13.4553
Kepler-1182 b,Kepler-1182,Transit,Kepler,,[Fe/H],1879,1,1,2016,11.17394617,,,,,,5924.0,1.05,1.04,0.01,4.41,1545.39,15.3453
Kepler-1183 b,Kepler-1183,Transit,Kepler,,[Fe/H],1880,1,1,2016,28.5057189,,,,,,5765.0,0.99,1.0,0.04,4.45,1919.19,15.8301
Kepler-1184 b,Kepler-1184,Transit,Kepler,,[Fe/H],1881,1,1,2016,53.5991044,,,,,,5983.0,1.07,1.05,-0.04,4.41,1157.84,14.9314
Kepler-1185 b,Kepler-1185,Transit,Kepler,,[Fe/H],1882,1,1,2016,104.3518976,,,,,,5622.0,0.87,0.96,-0.04,4.54,459.273,12.5524
Kepler-1186 b,Kepler-1186,Transit,Kepler,,[Fe/H],1883,1,1,2016,16.07677615,,,,,,5635.0,0.93,0.95,0.0,4.49,1337.25,15.2673
Kepler-1187 b,Kepler-1187,Transit,Kepler,,[Fe/H],1884,1,1,2016,18.87064068,,,,,,5975.0,1.09,1.06,-0.01,4.39,1020.53,14.5664
Kepler-1188 b,Kepler-1188,Transit,Kepler,,[Fe/H],1885,1,1,2016,17.1369543,,,,,,5913.0,1.06,1.04,0.0,4.4,1717.48,14.9676
Kepler-1189 b,Kepler-1189,Transit,Kepler,,[Fe/H],1886,1,1,2016,3.78858982,,,,,,6012.0,1.16,1.11,0.08,4.36,782.852,14.249
Kepler-119 b,Kepler-119,Transit,Kepler,,,1887,1,2,2014,2.422082,0.035,,,,,5595.0,0.84,,,4.57,701.996,14.2004
Kepler-119 c,Kepler-119,Transit,Kepler,,,1888,1,2,2014,4.125103,0.049,,,,,5595.0,0.84,,,4.57,701.996,14.2004
Kepler-1190 b,Kepler-1190,Transit,Kepler,,[Fe/H],1889,1,1,2016,10.45843441,,,,,,4730.0,0.72,0.76,-0.02,4.62,342.509,14.494
Kepler-1191 b,Kepler-1191,Transit,Kepler,,[Fe/H],1890,1,1,2016,5.60014851,,,,,,5308.0,0.81,0.85,-0.08,4.56,955.536,15.3125
Kepler-1192 b,Kepler-1192,Transit,Kepler,,[Fe/H],1891,1,1,2016,25.2034787,,,,,,5438.0,0.83,0.86,-0.16,4.55,1304.19,15.6807
Kepler-1193 b,Kepler-1193,Transit,Kepler,,[Fe/H],1892,1,1,2016,2.83265213,,,,,,5908.0,1.21,1.08,0.12,4.31,802.116,13.4208
Kepler-1194 b,Kepler-1194,Transit,Kepler,,[Fe/H],1893,1,1,2016,16.22371307,,,,,,5590.0,0.92,0.94,0.0,4.49,757.382,14.1034
Kepler-1195 b,Kepler-1195,Transit,Kepler,,[Fe/H],1894,1,1,2016,8.49642241,,,,,,4965.0,0.71,0.74,-0.25,4.61,918.566,15.9123
Kepler-1196 b,Kepler-1196,Transit,Kepler,,[Fe/H],1895,1,1,2016,66.1849031,,,,,,5756.0,0.97,0.98,0.0,4.46,922.333,14.8324
Kepler-1197 b,Kepler-1197,Transit,Kepler,,[Fe/H],1896,1,1,2016,2.03231845,,,,,,4708.0,0.72,0.78,0.06,4.62,486.94,15.1132
Kepler-1198 b,Kepler-1198,Transit,Kepler,,[Fe/H],1897,1,1,2016,7.6847716,,,,,,5517.0,0.9,0.93,0.03,4.5,743.03,14.7693
Kepler-1199 b,Kepler-1199,Transit,Kepler,,[Fe/H],1898,1,1,2016,15.0447198,,,,,,5889.0,1.17,0.94,-0.27,4.27,563.493,13.0302
Kepler-12 b,Kepler-12,Transit,Kepler,,[Fe/H],1899,1,1,2011,4.4379629,0.0553,137.30256,,,1480.0,5947.0,1.48,1.17,0.07,4.17,881.386,13.3596
Kepler-120 b,Kepler-120,Transit,Kepler,,,1900,1,2,2014,6.312501,0.055,,,,,4096.0,0.53,,,4.73,388.63,14.7188
Kepler-120 c,Kepler-120,Transit,Kepler,,,1901,1,2,2014,12.794585,0.088,,,,,4096.0,0.53,,,4.73,388.63,14.7188
Kepler-1200 b,Kepler-1200,Transit,Kepler,,[Fe/H],1902,1,1,2016,1.11854972,,,,,,4612.0,0.7,0.74,0.04,4.63,588.715,15.7889
Kepler-1201 b,Kepler-1201,Transit,Kepler,,[Fe/H],1903,1,1,2016,15.18725932,,,,,,6177.0,1.24,1.15,0.03,4.32,944.241,14.7003
Kepler-1202 b,Kepler-1202,Transit,Kepler,,[Fe/H],1904,1,1,2016,28.6851324,,,,,,5834.0,1.04,1.03,0.06,4.42,1175.38,15.6084
Kepler-1203 b,Kepler-1203,Transit,Kepler,,[Fe/H],1905,1,1,2016,0.58800076,,,,,,4105.0,0.61,0.64,0.01,4.67,317.022,14.9147
Kepler-1204 b,Kepler-1204,Transit,Kepler,,[Fe/H],1906,1,1,2016,85.7350285,,,,,,5825.0,1.03,1.03,0.06,4.42,1175.22,15.295
Kepler-1205 b,Kepler-1205,Transit,Kepler,,[Fe/H],1907,1,1,2016,1.07839035,,,,,,5226.0,0.81,0.84,-0.04,4.56,698.485,15.1303
Kepler-1206 b,Kepler-1206,Transit,Kepler,,[Fe/H],1908,1,1,2016,1.21699766,,,,,,4877.0,0.75,0.8,0.07,4.6,762.019,15.9286
Kepler-1207 b,Kepler-1207,Transit,Kepler,,[Fe/H],1909,1,1,2016,13.68237119,,,,,,5909.0,1.06,1.06,0.05,4.41,1754.19,14.4485
Kepler-1208 b,Kepler-1208,Transit,Kepler,,[Fe/H],1910,1,1,2016,11.08507637,,,,,,5001.0,0.76,0.8,-0.03,4.59,825.176,15.9464
Kepler-1209 b,Kepler-1209,Transit,Kepler,,[Fe/H],1911,1,1,2016,25.369116,,,,,,6210.0,1.38,1.23,0.12,4.24,505.531,12.4115
Kepler-121 b,Kepler-121,Transit,Kepler,,,1912,1,2,2014,3.177422,0.039,,,,,5311.0,0.7,,,4.65,510.523,14.677
Kepler-121 c,Kepler-121,Transit,Kepler,,,1913,1,2,2014,41.008011,0.216,,,,,5311.0,0.7,,,4.65,510.523,14.677
Kepler-1210 b,Kepler-1210,Transit,Kepler,,[Fe/H],1914,1,1,2016,8.07124073,,,,,,5568.0,0.92,0.94,0.04,4.49,1176.53,15.566
Kepler-1211 b,Kepler-1211,Transit,Kepler,,[Fe/H],1915,1,1,2016,11.01816836,,,,,,5705.0,0.94,0.96,-0.08,4.48,1826.53,15.8278
Kepler-1212 b,Kepler-1212,Transit,Kepler,,[Fe/H],1916,1,1,2016,12.94130146,,,,,,6051.0,1.15,1.1,0.03,4.36,1316.57,15.0235
Kepler-1213 b,Kepler-1213,Transit,Kepler,,[Fe/H],1917,1,1,2016,5.34982412,,,,,,6050.0,1.21,1.14,0.13,4.33,807.812,13.342
Kepler-1214 b,Kepler-1214,Transit,Kepler,,[Fe/H],1918,1,1,2016,18.82634264,,,,,,5130.0,0.8,0.85,0.05,4.57,729.227,15.2226
Kepler-1215 b,Kepler-1215,Transit,Kepler,,[Fe/H],1919,1,1,2016,4.76703963,,,,,,5616.0,0.93,0.95,0.01,4.48,661.022,14.4254
Kepler-1216 b,Kepler-1216,Transit,Kepler,,[Fe/H],1920,1,1,2016,4.37034536,,,,,,5743.0,0.98,0.99,0.03,4.46,1258.36,15.107
Kepler-1217 b,Kepler-1217,Transit,Kepler,,[Fe/H],1921,1,1,2016,2.03232507,,,,,,5905.0,1.08,1.06,0.07,4.4,1347.71,15.2415
Kepler-1218 b,Kepler-1218,Transit,Kepler,,[Fe/H],1922,1,1,2016,22.9221266,,,,,,5986.0,1.1,1.06,-0.02,4.38,840.503,13.5511
Kepler-1219 b,Kepler-1219,Transit,Kepler,,[Fe/H],1923,1,1,2016,16.10467749,,,,,,5944.0,1.94,1.25,0.05,3.97,880.895,12.2321
Kepler-122 b,Kepler-122,Transit,Kepler,,,1924,1,5,2014,5.766193,0.064,,,,,6050.0,1.22,,,4.3,1027.45,14.2223
Kepler-122 c,Kepler-122,Transit,Kepler,,,1925,1,5,2014,12.465988,0.108,,,,,6050.0,1.22,,,4.3,1027.45,14.2223
Kepler-122 d,Kepler-122,Transit,Kepler,,,1926,1,5,2014,21.587475,0.155,,,,,6050.0,1.22,,,4.3,1027.45,14.2223
Kepler-122 e,Kepler-122,Transit,Kepler,,,1927,1,5,2014,37.993273,0.227,,,,,6050.0,1.22,,,4.3,1027.45,14.2223
Kepler-122 f,Kepler-122,Transit Timing Variations,Kepler,,,1928,1,5,2014,56.268,,36.0,,,,,0.95,1.03,,,1027.45,14.2223
Kepler-1220 b,Kepler-1220,Transit,Kepler,,[Fe/H],1929,1,1,2016,7.42693741,,,,,,5842.0,0.99,1.0,-0.04,4.45,961.907,14.9649
Kepler-1221 b,Kepler-1221,Transit,Kepler,,[Fe/H],1930,1,1,2016,12.00096042,,,,,,5194.0,0.82,0.87,0.09,4.55,913.65,15.5804
Kepler-1222 b,Kepler-1222,Transit,Kepler,,[Fe/H],1931,1,1,2016,1.91694425,,,,,,5239.0,0.8,0.84,-0.04,4.56,415.218,14.0908
Kepler-1223 b,Kepler-1223,Transit,Kepler,,[Fe/H],1932,1,1,2016,16.301259,,,,,,4870.0,0.75,0.8,0.04,4.6,459.957,14.6119
Kepler-1224 b,Kepler-1224,Transit,Kepler,,[Fe/H],1933,1,1,2016,13.32351601,,,,,,6155.0,1.22,1.18,0.14,4.34,559.598,12.825
Kepler-1225 b,Kepler-1225,Transit,Kepler,,[Fe/H],1934,1,1,2016,7.01075434,,,,,,6140.0,1.19,1.13,0.01,4.34,1347.52,14.632
Kepler-1226 b,Kepler-1226,Transit,Kepler,,[Fe/H],1935,1,1,2016,17.2923453,,,,,,5923.0,1.02,1.02,-0.08,4.43,1125.72,14.1497
Kepler-1227 b,Kepler-1227,Transit,Kepler,,[Fe/H],1936,1,1,2016,94.2887577,,,,,,5747.0,0.95,0.97,-0.04,4.47,623.706,14.1758
Kepler-1228 b,Kepler-1228,Transit,Kepler,,[Fe/H],1937,1,1,2016,0.57736958,,,,,,5063.0,0.74,0.78,-0.18,4.59,515.453,14.8612
Kepler-1229 b,Kepler-1229,Transit,Kepler,,[Fe/H],1938,1,1,2016,86.828989,,,,,,3784.0,0.51,0.54,-0.06,4.75,265.482,15.5104
Kepler-123 b,Kepler-123,Transit,Kepler,,,1939,1,2,2014,17.232366,0.135,,,,,6089.0,1.26,,,4.28,1021.66,14.0212
Kepler-123 c,Kepler-123,Transit,Kepler,,,1940,1,2,2014,26.695074,0.181,,,,,6089.0,1.26,,,4.28,1021.66,14.0212
Kepler-1230 b,Kepler-1230,Transit,Kepler,,[Fe/H],1941,1,1,2016,9.95661537,,,,,,5961.0,1.08,1.06,0.01,4.4,1364.22,15.2743
Kepler-1231 b,Kepler-1231,Transit,Kepler,,[Fe/H],1942,1,1,2016,10.41725184,,,,,,5778.0,1.0,1.01,0.06,4.44,987.237,14.714
Kepler-1232 b,Kepler-1232,Transit,Kepler,,[Fe/H],1943,1,1,2016,26.7839183,,,,,,5471.0,0.89,0.92,0.06,4.51,632.865,14.7619
Kepler-1233 b,Kepler-1233,Transit,Kepler,,[Fe/H],1944,1,1,2016,45.1263042,,,,,,6198.0,1.25,1.16,0.02,4.3,1178.7,14.6594
Kepler-1234 b,Kepler-1234,Transit,Kepler,,[Fe/H],1945,1,1,2016,11.94014029,,,,,,4967.0,0.76,0.8,0.01,4.59,916.749,15.878
Kepler-1235 b,Kepler-1235,Transit,Kepler,,[Fe/H],1946,1,1,2016,4.16055856,,,,,,5541.0,0.9,0.93,0.01,4.5,540.604,13.8765
Kepler-1236 b,Kepler-1236,Transit,Kepler,,[Fe/H],1947,1,1,2016,31.0571618,,,,,,5337.0,0.82,0.86,-0.09,4.55,999.64,15.9248
Kepler-1237 b,Kepler-1237,Transit,Kepler,,[Fe/H],1948,1,1,2016,84.5733226,,,,,,5472.0,0.9,0.94,0.12,4.5,1064.31,15.7553
Kepler-1238 b,Kepler-1238,Transit,Kepler,,[Fe/H],1949,1,1,2016,4.14787559,,,,,,6386.0,1.48,1.3,0.05,4.21,1632.13,14.7328
Kepler-1239 b,Kepler-1239,Transit,Kepler,,[Fe/H],1950,1,1,2016,5.19104016,,,,,,6564.0,1.57,1.4,0.22,4.2,2140.6,15.3947
Kepler-124 b,Kepler-124,Transit,Kepler,,,1951,1,3,2014,3.410493,0.039,,,,,4984.0,0.64,,,4.67,420.046,14.124
Kepler-124 c,Kepler-124,Transit,Kepler,,,1952,1,3,2014,13.821375,0.1,,,,,4984.0,0.64,,,4.67,420.046,14.124
Kepler-124 d,Kepler-124,Transit,Kepler,,,1953,1,3,2014,30.950851,0.17,,,,,4984.0,0.64,,,4.67,420.046,14.124
Kepler-1240 b,Kepler-1240,Transit,Kepler,,[Fe/H],1954,1,1,2016,4.8663815,,,,,,5682.0,0.96,0.98,0.04,4.47,862.186,13.9609
Kepler-1241 b,Kepler-1241,Transit,Kepler,,[Fe/H],1955,1,1,2016,18.5525701,,,,,,5261.0,0.8,0.84,-0.09,4.56,968.722,15.669
Kepler-1242 b,Kepler-1242,Transit,Kepler,,[Fe/H],1956,1,1,2016,13.62798432,,,,,,4895.0,0.74,0.77,-0.05,4.6,687.615,15.4984
Kepler-1243 b,Kepler-1243,Transit,Kepler,,[Fe/H],1957,1,1,2016,16.8320729,,,,,,5667.0,0.94,0.96,0.01,4.48,758.17,14.8331
Kepler-1244 b,Kepler-1244,Transit,Kepler,,[Fe/H],1958,1,1,2016,3.70428172,,,,,,6680.0,1.77,1.46,0.05,4.1,1075.81,12.3234
Kepler-1245 b,Kepler-1245,Transit,Kepler,,[Fe/H],1959,1,2,2016,4.35409304,,,,,,5306.0,0.83,0.86,-0.01,4.55,805.936,15.3721
Kepler-1245 c,Kepler-1245,Transit,Kepler,,[Fe/H],1960,1,2,2016,2.93658468,,,,,,5306.0,0.83,0.86,-0.01,4.55,805.936,15.3721
Kepler-1246 b,Kepler-1246,Transit,Kepler,,[Fe/H],1961,1,1,2016,11.32271513,,,,,,4611.0,0.69,0.73,-0.03,4.63,436.505,15.0318
Kepler-1247 b,Kepler-1247,Transit,Kepler,,[Fe/H],1962,1,1,2016,13.71220213,,,,,,5303.0,0.82,0.86,-0.05,4.55,1045.92,15.9013
Kepler-1248 b,Kepler-1248,Transit,Kepler,,[Fe/H],1963,1,1,2016,7.46725407,,,,,,6149.0,1.21,1.21,0.24,4.36,593.026,12.9248
Kepler-1249 b,Kepler-1249,Transit,Kepler,,[Fe/H],1964,1,1,2016,24.3347127,,,,,,6202.0,1.28,1.19,0.06,4.29,1904.54,15.3518
Kepler-125 b,Kepler-125,Transit,Kepler,,,1965,1,2,2014,4.164389,0.041,,,,,3810.0,0.51,,,4.74,183.365,14.7675
Kepler-125 c,Kepler-125,Transit,Kepler,,,1966,1,2,2014,5.774464,0.051,,,,,3810.0,0.51,,,4.74,183.365,14.7675
Kepler-1250 b,Kepler-1250,Transit,Kepler,,[Fe/H],1967,1,1,2016,2.60754383,,,,,,5717.0,0.98,0.99,0.04,4.46,2126.85,15.5694
Kepler-1251 b,Kepler-1251,Transit,Kepler,,[Fe/H],1968,1,1,2016,45.0904643,,,,,,5545.0,0.89,0.92,-0.04,4.51,902.204,14.9391
Kepler-1252 b,Kepler-1252,Transit,Kepler,,[Fe/H],1969,1,1,2016,15.0540329,,,,,,5949.0,1.09,1.06,0.03,4.38,648.979,14.4946
Kepler-1253 b,Kepler-1253,Transit,Kepler,,[Fe/H],1970,1,1,2016,68.8861915,,,,,,5850.0,1.1,0.97,-0.14,4.33,514.524,12.4566
Kepler-1254 b,Kepler-1254,Transit,Kepler,,[Fe/H],1971,1,3,2016,9.99113313,,,,,,4985.0,0.75,0.78,-0.1,4.59,622.818,15.3024
Kepler-1254 c,Kepler-1254,Transit,Kepler,,[Fe/H],1972,1,3,2016,3.60084276,,,,,,4985.0,0.75,0.78,-0.1,4.59,622.818,15.3024
Kepler-1254 d,Kepler-1254,Transit,Kepler,,[Fe/H],1973,1,3,2016,5.72717226,,,,,,4985.0,0.75,0.78,-0.1,4.59,622.818,15.3024
Kepler-1255 b,Kepler-1255,Transit,Kepler,,[Fe/H],1974,1,1,2016,36.2919336,,,,,,6018.0,1.12,1.08,0.02,4.37,1617.07,15.199
Kepler-1256 b,Kepler-1256,Transit,Kepler,,[Fe/H],1975,1,1,2016,12.4127754,,,,,,6129.0,1.36,1.17,0.05,4.23,891.192,13.513
